1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
0 0 0 0 0 0 0 0 0 6 6 6 6 0 0 0 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 14 6 6 6 6 0 0 0 1 1 1 1 1 1 1 1
0 5 5 5 0 0 6 8 8 12 0 0 0 8 0 0 1 1 1 1 21 1 1 1
0 1 1 1 1 1 12 14 14 0 0 0 0 8 0 0 1 1 0 0 21 0 0 1
0 1 0 0 0 0 0 0 14 0 0 0 0 8 0 0 1 1 0 0 0 0 0 1
0 1 0 0 0 0 0 0 0 12 12 12 12 0 0 0 0 0 0 0 0 0 0 1
0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 19 19 19 0 0 0 22 1
1 1 1 1 1 0 0 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 0 0 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1




