11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 15
0 0 1 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 15
0 0 1 0 0 0 0 0 0 14 14 14 0 0 0 0 0 5 5 5 0 0 0 15
0 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 0 15
0 0 1 6 6 6 6 0 0 0 0 0 0 0 0 0 16 16 16 0 0 1 0 15
0 0 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 15
0 0 1 0 18 0 0 0 0 12 12 12 12 12 12 12 12 0 0 0 0 1 0 15
0 0 1 0 20 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
1 0 1 0 21 21 0 0 20 17 0 0 0 0 19 20 19 0 0 19 0 1 0 0
1 0 1 0 21 21 0 20 21 20 0 0 21 21 21 21 20 22 0 0 0 1 0 22
