0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
0 0 0 0 20 0 0 1 1 0 0 20 17 17 0 0 0 0 20 0 0 0 0 0
0 0 0 0 21 0 0 0 0 0 0 1 1 1 0 20 0 0 21 0 0 0 0 0
0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 21 0 0 21 0 0 0 0 0
1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0
11 11 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 19 0 22
0 0 0 2 0 0 6 0 0 0 12 12 12 0 0 12 12 0 0 0 0 20 0 1
0 5 5 2 0 7 1 1 20 0 3 0 0 0 0 0 0 1 0 0 0 21 0 1
1 1 1 2 0 1 1 1 1 1 3 3 3 1 1 1 1 1 1 1 1 1 1 1
1 1 1 2 0 1 1 1 1 1 3 3 3 1 1 1 1 1 1 1 1 1 1 1
